Cage,Mouse,Genotype,Age,Weight,0,15,30,45,60,75,90,105,120,auc
1596418,329,Knockout,72,20.92,147,65,37,27,14,30,44,50,62,476
1596418,332,Wild Type,72,21.56,147,72,54,47,33,28,33,37,40,491
1596418,331,Wild Type,72,23.39,143,63,44,32,32,23,32,36,39,444
1596418,328,Wild Type,72,22.3,98,64,72,47,44,49,68,64,56,562
1596406,253,Knockout,86,27.25,145,75,63,58,51,42,70,70,65,639
1596406,254,Knockout,86,30.14,137,94,75,66,83,46,42,48,63,654
1596406,255,Knockout,90,25.12,123,57,30,21,35,18,28,34,39,385
1596406,256,Wild Type,90,24.63,126,64,44,39,33,34,40,42,51,473
1596406,257,Wild Type,90,24.03,166,67,44,31,41,39,58,71,66,583
1596422,336,Wild Type,67,24.53,113,85,73,56,47,31,39,38,41,523
1596422,337,Knockout,67,21.34,97,91,76,55,52,53,56,60,64,604
1596422,338,Knockout,67,21.08,123,117,68,49,42,35,43,60,47,584
1596422,339,Wild Type,67,25.26,111,85,60,49,38,39,42,50,54,528
1596422,344,Wild Type,67,27.91,95,63,42,43,38,79,69,82,89,600
1596426,340,Knockout,67,22.98,108,92,58,50,42,50,59,63,74,596
1596426,341,Knockout,67,21.62,122,83,58,39,26,48,61,56,61,554
1596426,342,Wild Type,67,21.73,110,61,38,40,39,54,54,68,70,534
1596426,343,Wild Type,67,20.97,114,82,69,59,43,53,60,56,82,618
1596426,345,Wild Type,66,26.12,98,100,87,84,88,95,89,94,96,831
